year,month,title,author,publisher,image,date,genre,sales_count,score,sales
2024,1,물고기는 존재하지 않는다,룰루 밀러 (저) / 정지인 (역),곰출판,https://image.yes24.com/goods/105526047/L,2021년 12월,#차별에맞서는법,130302.0,9.0,
2024,1,지옥 초등학교 1,아리타 나오글 / 안라쿠 마사시그림 / 이소담 (역),한빛에듀,https://image.yes24.com/goods/124315515/L,2024년 01월,#공포동화,1440.0,9.9,
2024,1,김재우의 영어회화 100,김재우 (저),상상스퀘어,https://image.yes24.com/goods/119882948/L,2023년 07월,#영어는네이티브처럼,76485.0,9.3,
2024,1,부자의 그릇 (블랙 에디션),이즈미 마사토 (저) / 김윤수 (역),다산북스,https://image.yes24.com/goods/96087459/L,2020년 12월,#편집자의시대_편집자가만든책,49083.0,9.2,
2024,1,2024 이기적 컴퓨터활용능력 1급 필기 기본서,"홍태성,영진정보연구소 (저)",영진닷컴,https://image.yes24.com/goods/121147523/L,2023년 08월,#자격증,15858.0,9.9,
2024,1,사는 동안 한 번은 팔아봐라,서과장 (저),마인드셋(Mindset),https://image.yes24.com/goods/124393292/L,2024년 01월,,20358.0,9.2,
2024,1,SKY 로드맵,이병훈 (저),쌤앤파커스,https://image.yes24.com/goods/124095531/L,2023년 12월,#크레마클럽에있어요,7440.0,9.5,
2024,1,2024 이기적 컴퓨터활용능력 2급 필기 기본서,"홍태성,영진정보연구소 (저)",영진닷컴,https://image.yes24.com/goods/122428674/L,2023년 09월,#컴활,24018.0,9.6,
2024,1,맥스웰 몰츠 성공의 법칙,맥스웰 몰츠 (저) / 매트 퓨리해제 / 신동숙 (역),비즈니스북스,https://image.yes24.com/goods/84183443/L,2019년 12월,,6576.0,9.8,
2024,1,그래서 이런 말이 생겼대요 : 우리말,우리누리글 / 송진욱그림,길벗스쿨,https://image.yes24.com/goods/123799830/L,2023년 11월,#2024아침독서추천도서,28740.0,9.9,
2024,1,메리골드 마음 사진관,윤정은 (저),북로망스,https://image.yes24.com/goods/124339743/L,2024년 01월,#올해의책,16506.0,9.6,
